Processor,Description
"Intel Core Ultra 7 165U(26%)17,547NA","Intel Core Ultra 7 165U


Description: Intel Graphics


Class: Laptop
Socket: 


Total Cores: 12 Cores, 14 Threads
Performance Cores: 2 Cores, 4 Threads, 1.7 GHz Base, 4.9 GHz Turbo
Efficient Cores: 10 Cores, 10 Threads, 1.2 GHz Base, 3.8 GHz Turbo

Typical TDP: 15 WTDP Down: 12 WTDP Up: 57 W
Cache per CPU Package:L1 Instruction Cache: 2 x 64 KBL1 Data Cache: 2 x 48 KBL2 Cache: 5 x 2048 KBL3 Cache: 12 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 10 x 64 KBEff. L1 Data Cache: 10 x 32 KB
Memory Support: Max. Memory Size: 96 GB (Up to LPDDR5/x 7467 MT/s Up to DDR5 5600 MT/s)


Other names: Intel(R) CoreTM Ultra 7 165U, Intel(R) Core(TM) Ultra 7 165U, Intel Core Ultra 7 165U
CPU First Seen on Charts: Q1 2024
CPUmark/$Price: NA
Overall Rank:
756th fastest in multithreading out of 4854 CPUs301st fastest in single threading out of 4854 CPUs155th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
17547 Single Thread Rating
3409
 Samples: 136*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 5 7535U(25%)17,077NA","AMD Ryzen 5 7535U


Description: AMD Radeon 660M


Class: Laptop
Socket: FP7
Clockspeed: 2.9 GHzTurbo Speed: 4.6 GHzCores: 6 Threads: 12Typical TDP: 28 W
Cache per CPU Package:L1 Instruction Cache: 6 x 32 KBL1 Data Cache: 6 x 32 KBL2 Cache: 6 x 512 KBL3 Cache: 16 MB


Other names: AMD Ryzen 5 7535U with Radeon Graphics
CPU First Seen on Charts: Q2 2023
CPUmark/$Price: NA
Overall Rank:
777th fastest in multithreading out of 4854 CPUs401st fastest in single threading out of 4854 CPUs161st fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
17077 Single Thread Rating
3221
 Samples: 76*
					
					*Margin for error: Low


+ Compare"
"Intel Core Ultra 7 155U(25%)16,893$490.00*","Intel Core Ultra 7 155U


Description: Intel Graphics, Intel AI Boost


Class: Laptop
Socket: FCBGA2049


Total Cores: 12 Cores, 14 Threads
Performance Cores: 2 Cores, 4 Threads, 1.7 GHz Base, 4.8 GHz Turbo
Efficient Cores: 10 Cores, 10 Threads, 1.2 GHz Base, 3.8 GHz Turbo

Typical TDP: 15 WTDP Down: 12 WTDP Up: 57 W
Cache per CPU Package:L1 Instruction Cache: 2 x 64 KBL1 Data Cache: 2 x 48 KBL2 Cache: 5 x 2048 KBL3 Cache: 12 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 10 x 64 KBEff. L1 Data Cache: 10 x 32 KB
Memory Support: Max. Memory Size: 96 GB (Up to LPDDR5/x 7467 MT/s Up to DDR5 5600 MT/s)


Other names: Intel(R) Core(TM) Ultra 7 155U, Intel(R) CoreTM Ultra 7 155U
CPU First Seen on Charts: Q1 2024
CPUmark/$Price: 34.48
Overall Rank:
790th fastest in multithreading out of 4854 CPUs281st fastest in single threading out of 4854 CPUs167th fastest in out of 1421 Laptop CPUs 
Last Price Change: $490.00 USD (2023-10-01)




Average CPU Mark


Multithread Rating
16893 Single Thread Rating
3464
 Samples: 115*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 5 7530U(24%)16,071NA","AMD Ryzen 5 7530U


Description: with Radeon Graphics


Class: Laptop
Socket: FP6
Clockspeed: 2.0 GHzTurbo Speed: 4.5 GHzCores: 6 Threads: 12Typical TDP: 15 W
Cache per CPU Package:L1 Instruction Cache: 6 x 32 KBL1 Data Cache: 6 x 32 KBL2 Cache: 6 x 512 KBL3 Cache: 16 MB


Other names: AMD Ryzen 5 7530U with Radeon Graphics
CPU First Seen on Charts: Q4 2022
CPUmark/$Price: NA
Overall Rank:
827th fastest in multithreading out of 4854 CPUs446th fastest in single threading out of 4854 CPUs175th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
16071 Single Thread Rating
3118
 Samples: 658*
					
					*Margin for error: Low


+ Compare"
"Intel Core 7 150U(23%)15,982NA","Intel Core 7 150U


Description: Intel Graphics


Class: Laptop
Socket: FCBGA1744


Total Cores: 10 Cores, 12 Threads
Performance Cores: 2 Cores, 4 Threads, 1.8 GHz Base, 5.4 GHz Turbo
Efficient Cores: 8 Cores, 8 Threads, 1.2 GHz Base, 4.0 GHz Turbo

Typical TDP: 15 WTDP Down: 12 WTDP Up: 55 W
Cache per CPU Package:L1 Instruction Cache: 2 x 32 KBL1 Data Cache: 2 x 48 KBL2 Cache: 2 x 1280 KBL3 Cache: 12 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 8 x 64 KBEff. L1 Data Cache: 8 x 32 KBEff. L2 Cache: 2 x 2048 KB
Memory Support: Max. Memory Size: 96 GB (Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 6400 MT)


Other names: Intel(R) Core(TM) 7 150U, Intel Core 7 150U
CPU First Seen on Charts: Q1 2024
CPUmark/$Price: NA
Overall Rank:
829th fastest in multithreading out of 4854 CPUs208th fastest in single threading out of 4854 CPUs176th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
15982 Single Thread Rating
3650
 Samples: 79*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 5 7430U(23%)15,547NA","AMD Ryzen 5 7430U


Description: with Radeon Graphics


Class: Laptop
Socket: AM4
Clockspeed: 2.3 GHzTurbo Speed: 4.3 GHzCores: 6 Threads: 12Typical TDP: 15 W
Cache per CPU Package:L1 Instruction Cache: 6 x 32 KBL1 Data Cache: 6 x 32 KBL2 Cache: 6 x 512 KBL3 Cache: 16 MB


Other names: AMD Ryzen 5 7430U with Radeon Graphics
CPU First Seen on Charts: Q2 2024
CPUmark/$Price: NA
Overall Rank:
846th fastest in multithreading out of 4854 CPUs490th fastest in single threading out of 4854 CPUs182nd fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
15547 Single Thread Rating
3018
 Samples: 28*
					
					*Margin for error: Low


+ Compare"
"Intel Core i5-1345U(22%)15,119$309.00*","Intel Core i5-1345U


Description: Intel Iris Xe Graphics eligible


Class: Laptop
Socket: FCBGA1744


Total Cores: 10 Cores, 12 Threads
Performance Cores: 2 Cores, 4 Threads, 1.6 GHz Base, 4.7 GHz Turbo
Efficient Cores: 8 Cores, 8 Threads, 1.2 GHz Base, 3.5 GHz Turbo

Typical TDP: 15 WTDP Down: 12 WTDP Up: 55 W
Cache per CPU Package:L1 Instruction Cache: 2 x 32 KBL1 Data Cache: 2 x 48 KBL2 Cache: 2 x 1280 KBL3 Cache: 12 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 8 x 64 KBEff. L1 Data Cache: 8 x 32 KBEff. L2 Cache: 2 x 2048 KB


Other names: 13th Gen Intel(R) Core(TM) i5-1345U, 13th Gen Intel Core i5-1345U
CPU First Seen on Charts: Q1 2023
CPUmark/$Price: 48.93
Overall Rank:
862nd fastest in multithreading out of 4854 CPUs260th fastest in single threading out of 4854 CPUs188th fastest in out of 1421 Laptop CPUs 
Last Price Change: $309.00 USD (2023-01-01)




Average CPU Mark


Multithread Rating
15119 Single Thread Rating
3512
 Samples: 325*
					
					*Margin for error: Low


+ Compare"
"Intel Core Ultra 7 164U(22%)15,106NA","Intel Core Ultra 7 164U


Description: Intel Graphics


Class: Laptop
Socket: FCBGA2551


Total Cores: 12 Cores, 14 Threads
Performance Cores: 2 Cores, 4 Threads, 1.1 GHz Base, 4.8 GHz Turbo
Efficient Cores: 10 Cores, 10 Threads, 0.7 GHz Base, 3.8 GHz Turbo

Typical TDP: 9 WTDP Up: 30 W
Memory Support: Max. Memory Size: 650 GB (Up to LPDDR5/x 6400 MT/s)


Other names: Intel(R) Core(TM) Ultra 7 164U
CPU First Seen on Charts: Q2 2024
CPUmark/$Price: NA
Overall Rank:
864th fastest in multithreading out of 4854 CPUs436th fastest in single threading out of 4854 CPUs189th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
15106 Single Thread Rating
3151
 Samples: 7*
					
					*Margin for error: Medium


+ Compare"
"Intel Core 3 100U(22%)15,072NA","Intel Core 3 100U


Description: Intel Graphics


Class: Laptop
Socket: FCBGA1744


Total Cores: 6 Cores, 8 Threads
Performance Cores: 2 Cores, 4 Threads, 1.2 GHz Base, 4.7 GHz Turbo
Efficient Cores: 4 Cores, 4 Threads, 0.9 GHz Base, 3.3 GHz Turbo

Typical TDP: 15 WTDP Down: 12 WTDP Up: 55 W
Cache per CPU Package:L1 Instruction Cache: 2 x 32 KBL1 Data Cache: 2 x 48 KBL2 Cache: 2 x 1280 KBL3 Cache: 10 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 4 x 64 KBEff. L1 Data Cache: 4 x 32 KBEff. L2 Cache: 1 x 2048 KB
Memory Support: Max. Memory Size: 96 GB (Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 5200 MT)


Other names: Intel(R) Core(TM) 3 100U
CPU First Seen on Charts: Q1 2024
CPUmark/$Price: NA
Overall Rank:
867th fastest in multithreading out of 4854 CPUs143rd fastest in single threading out of 4854 CPUs191st fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
15072 Single Thread Rating
3847
 Samples: 57*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 5 PRO 7530U(22%)15,047NA","AMD Ryzen 5 PRO 7530U


Description: AMD Radeon Graphics


Class: Laptop
Socket: FP6
Clockspeed: 2.0 GHzTurbo Speed: 4.5 GHzCores: 6 Threads: 12Typical TDP: 15 W
Cache per CPU Package:L1 Instruction Cache: 6 x 32 KBL1 Data Cache: 6 x 32 KBL2 Cache: 6 x 512 KBL3 Cache: 16 MB


Other names: AMD Ryzen 5 PRO 7530U with Radeon Graphics
CPU First Seen on Charts: Q2 2023
CPUmark/$Price: NA
Overall Rank:
868th fastest in multithreading out of 4854 CPUs483rd fastest in single threading out of 4854 CPUs192nd fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
15047 Single Thread Rating
3030
 Samples: 74*
					
					*Margin for error: Low


+ Compare"
"Intel Core i7-1365U(22%)14,824$426.00*","Intel Core i7-1365U


Description: Intel Iris Xe Graphics eligible


Class: Laptop
Socket: FCBGA1744


Total Cores: 10 Cores, 12 Threads
Performance Cores: 2 Cores, 4 Threads, 1.8 GHz Base, 5.2 GHz Turbo
Efficient Cores: 8 Cores, 8 Threads, 1.3 GHz Base, 3.9 GHz Turbo

Typical TDP: 15 WTDP Down: 12 WTDP Up: 55 W
Cache per CPU Package:L1 Instruction Cache: 2 x 32 KBL1 Data Cache: 2 x 48 KBL2 Cache: 2 x 1280 KBL3 Cache: 12 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 8 x 64 KBEff. L1 Data Cache: 8 x 32 KBEff. L2 Cache: 2 x 2048 KB


Other names: 13th Gen Intel(R) Core(TM) i7-1365U, 13th Gen Intel Core i7-1365U
CPU First Seen on Charts: Q1 2023
CPUmark/$Price: 34.80
Overall Rank:
879th fastest in multithreading out of 4854 CPUs244th fastest in single threading out of 4854 CPUs197th fastest in out of 1421 Laptop CPUs 
Last Price Change: $426.00 USD (2023-01-04)




Average CPU Mark


Multithread Rating
14824 Single Thread Rating
3541
 Samples: 338*
					
					*Margin for error: Low


+ Compare"
"Intel Core i7-1355U(22%)14,805$469.00*","Intel Core i7-1355U


Description: Intel Iris Xe Graphics eligible


Class: Laptop
Socket: FCBGA1744


Total Cores: 10 Cores, 12 Threads
Performance Cores: 2 Cores, 4 Threads, 1.7 GHz Base, 5.0 GHz Turbo
Efficient Cores: 8 Cores, 8 Threads, 1.2 GHz Base, 3.7 GHz Turbo

Typical TDP: 15 WTDP Down: 12 WTDP Up: 55 W
Cache per CPU Package:L1 Instruction Cache: 2 x 32 KBL1 Data Cache: 2 x 48 KBL2 Cache: 2 x 1280 KBL3 Cache: 12 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 8 x 64 KBEff. L1 Data Cache: 8 x 32 KBEff. L2 Cache: 2 x 2048 KB


Other names: 13th Gen Intel(R) Core(TM) i7-1355U, 13th Gen Intel Core i7-1355U
CPU First Seen on Charts: Q2 2023
CPUmark/$Price: 31.57
Overall Rank:
883rd fastest in multithreading out of 4854 CPUs265th fastest in single threading out of 4854 CPUs198th fastest in out of 1421 Laptop CPUs 
Last Price Change: $469.00 USD (2023-01-01)




Average CPU Mark


Multithread Rating
14805 Single Thread Rating
3497
 Samples: 837*
					
					*Margin for error: Low


+ Compare"
"Intel Core i5-1335U(22%)14,723$340.00*","Intel Core i5-1335U


Description: Intel Iris Xe Graphics eligible


Class: Laptop
Socket: FCBGA1744


Total Cores: 10 Cores, 12 Threads
Performance Cores: 2 Cores, 4 Threads, 1.3 GHz Base, 4.6 GHz Turbo
Efficient Cores: 8 Cores, 8 Threads, 0.9 GHz Base, 3.4 GHz Turbo

Typical TDP: 15 WTDP Down: 12 WTDP Up: 55 W
Cache per CPU Package:L1 Instruction Cache: 2 x 32 KBL1 Data Cache: 2 x 48 KBL2 Cache: 2 x 1280 KBL3 Cache: 12 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 8 x 64 KBEff. L1 Data Cache: 8 x 32 KBEff. L2 Cache: 2 x 2048 KB


Other names: 13th Gen Intel(R) Core(TM) i5-1335U, 13th Gen Intel Core i5-1335U, Intel i5-1335U
CPU First Seen on Charts: Q2 2023
CPUmark/$Price: 43.30
Overall Rank:
887th fastest in multithreading out of 4854 CPUs297th fastest in single threading out of 4854 CPUs200th fastest in out of 1421 Laptop CPUs 
Last Price Change: $340.00 USD (2023-01-01)




Average CPU Mark


Multithread Rating
14723 Single Thread Rating
3416
 Samples: 851*
					
					*Margin for error: Low


+ Compare"
"Intel Core i5-1334U(20%)13,423$340.00*","Intel Core i5-1334U


Description: Intel Iris Xe Graphics eligible


Class: Laptop
Socket: FCBGA1744


Total Cores: 10 Cores, 12 Threads
Performance Cores: 2 Cores, 4 Threads, 1.3 GHz Base, 4.6 GHz Turbo
Efficient Cores: 8 Cores, 8 Threads, 0.9 GHz Base, 3.4 GHz Turbo

Typical TDP: 15 WTDP Up: 55 W
Cache per CPU Package:L1 Instruction Cache: 2 x 32 KBL1 Data Cache: 2 x 48 KBL2 Cache: 2 x 1280 KBL3 Cache: 12 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 8 x 64 KBEff. L1 Data Cache: 8 x 32 KBEff. L2 Cache: 2 x 2048 KB
Memory Support: Max. Memory Size: 64 GB (Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 5200MT/)


Other names: 13th Gen Intel(R) Core(TM) i5-1334U
CPU First Seen on Charts: Q2 2023
CPUmark/$Price: 39.48
Overall Rank:
968th fastest in multithreading out of 4854 CPUs375th fastest in single threading out of 4854 CPUs215th fastest in out of 1421 Laptop CPUs 
Last Price Change: $340.00 USD (2023-01-01)




Average CPU Mark


Multithread Rating
13423 Single Thread Rating
3273
 Samples: 46*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 3 7440U(19%)12,991NA","AMD Ryzen 3 7440U


Description: w/ Radeon 740M Graphics


Class: Laptop
Socket: FP7 FP7r2
Clockspeed: 3.0 GHzTurbo Speed: 4.7 GHzCores: 4 Threads: 8Typical TDP: 28 WTDP Down: 15 WTDP Up: 30 W


Other names: AMD Ryzen 3 7440U w/ Radeon 740M Graphics
CPU First Seen on Charts: Q4 2023
CPUmark/$Price: NA
Overall Rank:
993rd fastest in multithreading out of 4854 CPUs732nd fastest in single threading out of 4854 CPUs220th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
12991 Single Thread Rating
2614
 Samples: 1*
					
					*Margin for error: High


+ Compare"
"AMD Ryzen 3 8440U(19%)12,805NA","AMD Ryzen 3 8440U


Description: w/ Radeon 740M Graphics


Class: Desktop, Laptop
Socket: FP7, FP7r2
Clockspeed: 3.0 GHzTurbo Speed: 4.7 GHzCores: 4 Threads: 8Typical TDP: 28 WTDP Down: 15 WTDP Up: 30 W
Cache per CPU Package:L1 Instruction Cache: 4 x 32 KBL1 Data Cache: 4 x 32 KBL2 Cache: 4 x 1024 KBL3 Cache: 8 MB


Other names: AMD Ryzen 3 8440U w/ Radeon 740M Graphics
CPU First Seen on Charts: Q3 2024
CPUmark/$Price: NA
Overall Rank:
1003rd fastest in multithreading out of 4854 CPUs209th fastest in single threading out of 4854 CPUs326th fastest in out of 1382 Desktop CPUs222nd fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
12805 Single Thread Rating
3648
 Samples: 5*
					
					*Margin for error: High


+ Compare"
"Intel Core i5-1240U(18%)12,652NA","Intel Core i5-1240U


Description: Intel Iris Xe Graphics eligible


Class: Laptop
Socket: FCBGA1744


Total Cores: 10 Cores, 12 Threads
Performance Cores: 2 Cores, 4 Threads, 1.7 GHz Base, 4.4 GHz Turbo
Efficient Cores: 8 Cores, 8 Threads, 1.2 GHz Base, 3.3 GHz Turbo

Typical TDP: 29 W
Cache per CPU Package:L1 Instruction Cache: 6 x 32 KBL1 Data Cache: 6 x 64 KBL2 Cache: 1 x 2048 KBL3 Cache: 12 MB
Memory Support: Max. Memory Size: 64 GB (Up to LPDDR5 5200 MT/s Up to LPDDR4x 4267 MT/s)


Other names: 12th Gen Intel(R) Core(TM) i5-1240U
CPU First Seen on Charts: Q4 2022
CPUmark/$Price: NA
Overall Rank:
1009th fastest in multithreading out of 4854 CPUs459th fastest in single threading out of 4854 CPUs223rd fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
12652 Single Thread Rating
3092
 Samples: 7*
					
					*Margin for error: Medium


+ Compare"
"AMD Ryzen 3 PRO 7330U(18%)12,331NA","AMD Ryzen 3 PRO 7330U


Description: with Radeon Graphics


Class: Laptop
Socket: FP6
Clockspeed: 2.3 GHzTurbo Speed: 4.3 GHzCores: 4 Threads: 8Typical TDP: 15 W
Cache per CPU Package:L1 Instruction Cache: 4 x 32 KBL1 Data Cache: 4 x 32 KBL2 Cache: 4 x 512 KBL3 Cache: 8 MB


Other names: AMD Ryzen 3 PRO 7330U with Radeon Graphics
CPU First Seen on Charts: Q1 2023
CPUmark/$Price: NA
Overall Rank:
1026th fastest in multithreading out of 4854 CPUs451st fastest in single threading out of 4854 CPUs226th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
12331 Single Thread Rating
3108
 Samples: 14*
					
					*Margin for error: Medium


+ Compare"
"Intel Core i3-1315U(18%)12,285$309.00*","Intel Core i3-1315U


Description: Intel UHD Graphics for 13th Gen Intel Processors


Class: Laptop
Socket: FCBGA1744


Total Cores: 6 Cores, 8 Threads
Performance Cores: 2 Cores, 4 Threads, 1.2 GHz Base, 4.5 GHz Turbo
Efficient Cores: 4 Cores, 4 Threads, 0.9 GHz Base, 3.3 GHz Turbo

Typical TDP: 15 WTDP Down: 12 WTDP Up: 55 W
Cache per CPU Package:L1 Instruction Cache: 2 x 32 KBL1 Data Cache: 2 x 48 KBL2 Cache: 2 x 1280 KBL3 Cache: 10 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 4 x 64 KBEff. L1 Data Cache: 4 x 32 KBEff. L2 Cache: 1 x 2048 KB
Memory Support: Max. Memory Size: 64 GB (Up to DDR5 5200 MT/s Up to DDR4 3200 MT/s Up to LPDDR5/x 5200 MT)


Other names: 13th Gen Intel(R) Core(TM) i3-1315U, 13th Gen Intel Core i3-1315U, Intel i3-1315U
CPU First Seen on Charts: Q2 2023
CPUmark/$Price: 39.76
Overall Rank:
1029th fastest in multithreading out of 4854 CPUs251st fastest in single threading out of 4854 CPUs227th fastest in out of 1421 Laptop CPUs 
Last Price Change: $309.00 USD (2023-01-01)




Average CPU Mark


Multithread Rating
12285 Single Thread Rating
3535
 Samples: 188*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 3 7335U(18%)12,200NA","AMD Ryzen 3 7335U


Description: AMD Radeon 660M


Class: Desktop, Laptop
Socket: FP7
Clockspeed: 3.0 GHzTurbo Speed: 4.3 GHzCores: 4 Threads: 8Typical TDP: 28 WTDP Down: 15 WTDP Up: 30 W
Cache per CPU Package:L1 Instruction Cache: 8 x 32 KBL1 Data Cache: 8 x 32 KBL2 Cache: 8 x 512 KBL3 Cache: 8 MB


Other names: AMD Ryzen 3 7335U with Radeon Graphics
CPU First Seen on Charts: Q2 2024
CPUmark/$Price: NA
Overall Rank:
1035th fastest in multithreading out of 4854 CPUs518th fastest in single threading out of 4854 CPUs334th fastest in out of 1382 Desktop CPUs228th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
12200 Single Thread Rating
2949
 Samples: 50*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 3 PRO 7335U(18%)12,162NA","AMD Ryzen 3 PRO 7335U


Description: AMD Radeon 660M


Class: Desktop, Laptop
Socket: FP7r2
Clockspeed: 3.0 GHzTurbo Speed: 4.3 GHzCores: 4 Threads: 8Typical TDP: 30 WTDP Down: 15 W
Cache per CPU Package:L1 Instruction Cache: 4 x 32 KBL1 Data Cache: 4 x 32 KBL2 Cache: 4 x 512 KBL3 Cache: 8 MB


Other names: AMD Ryzen 3 PRO 7335U with Radeon Graphics
CPU First Seen on Charts: Q1 2024
CPUmark/$Price: NA
Overall Rank:
1037th fastest in multithreading out of 4854 CPUs453rd fastest in single threading out of 4854 CPUs336th fastest in out of 1382 Desktop CPUs229th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
12162 Single Thread Rating
3101
 Samples: 12*
					
					*Margin for error: Medium


+ Compare"
"Intel Core Ultra 5 134U(18%)12,058$332.00*","Intel Core Ultra 5 134U


Description: Intel Graphics


Class: Laptop, Mobile/Embedded
Socket: FCBGA2551


Total Cores: 12 Cores, 14 Threads
Performance Cores: 2 Cores, 4 Threads, 0.7 GHz Base, 4.4 GHz Turbo
Efficient Cores: 10 Cores, 10 Threads, 0.5 GHz Base, 3.6 GHz Turbo

Typical TDP: 30 WTDP Down: 9 W
Cache per CPU Package:L1 Instruction Cache: 2 x 64 KBL1 Data Cache: 2 x 48 KBL2 Cache: 5 x 2048 KBL3 Cache: 12 MBCache per Eff. CPU Package:Eff. L1 Instruction Cache: 10 x 64 KBEff. L1 Data Cache: 10 x 32 KB
Memory Support: Max. Memory Size: 64 GB (Up to LPDDR5/x 6400 MT/s)


Other names: Intel(R) Core(TM) Ultra 5 134U
CPU First Seen on Charts: Q2 2024
CPUmark/$Price: 36.32
Overall Rank:
1044th fastest in multithreading out of 4854 CPUs492nd fastest in single threading out of 4854 CPUs231st fastest in out of 1421 Laptop CPUs53rd fastest in out of 1021 Mobile/Embedded CPUs 
Last Price Change: $332.00 USD (2023-10-01)




Average CPU Mark


Multithread Rating
12058 Single Thread Rating
3011
 Samples: 7*
					
					*Margin for error: Medium


+ Compare"
"Microsoft SQ3 @ 3.0 GHz(17%)11,727NA","Microsoft SQ3 @ 3.0 GHz


Description: GPU Adreno 730


Class: Laptop
Socket: 


Total Cores: 8 Cores, 8 Threads
Primary Cores: 4 Cores, 4 Threads, 3.0 GHz Base, NA Turbo
Secondary Cores: 4 Cores, 4 Threads, 2.4 GHz Base, NA Turbo




Other names: Microsoft SQ3
CPU First Seen on Charts: Q4 2022
CPUmark/$Price: NA
Overall Rank:
1061st fastest in multithreading out of 4854 CPUs964th fastest in single threading out of 4854 CPUs239th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
11727 Single Thread Rating
2367
 Samples: 26*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 5 5500H(17%)11,661NA","AMD Ryzen 5 5500H


Description: with Radeon Graphics


Class: Laptop
Socket: FP6
Clockspeed: 3.3 GHzTurbo Speed: 4.2 GHzCores: 4 Threads: 8Typical TDP: 45 WTDP Down: 35 WTDP Up: 54 W
Cache per CPU Package:L1 Instruction Cache: 4 x 32 KBL1 Data Cache: 4 x 32 KBL2 Cache: 4 x 512 KBL3 Cache: 8 MB


Other names: AMD Ryzen 5 5500H with Radeon Graphics
CPU First Seen on Charts: Q4 2023
CPUmark/$Price: NA
Overall Rank:
1065th fastest in multithreading out of 4854 CPUs489th fastest in single threading out of 4854 CPUs242nd fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
11661 Single Thread Rating
3021
 Samples: 27*
					
					*Margin for error: Low


+ Compare"
"AMD Ryzen 5 7235HS(16%)11,176NA","AMD Ryzen 5 7235HS


Description: 


Class: Desktop, Laptop
Socket: FP7r2
Clockspeed: 3.2 GHzTurbo Speed: 4.2 GHzCores: 4 Threads: 8Typical TDP: 45 WTDP Down: 35 WTDP Up: 53 W
Cache per CPU Package:L1 Instruction Cache: 4 x 32 KBL1 Data Cache: 4 x 32 KBL2 Cache: 4 x 512 KBL3 Cache: 8 MB


Other names: AMD Ryzen 5 7235HS
CPU First Seen on Charts: Q2 2024
CPUmark/$Price: NA
Overall Rank:
1091st fastest in multithreading out of 4854 CPUs719th fastest in single threading out of 4854 CPUs347th fastest in out of 1382 Desktop CPUs247th fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
11176 Single Thread Rating
2627
 Samples: 10*
					
					*Margin for error: Medium


+ Compare"
"AMD Ryzen 3 7330U(16%)10,978NA","AMD Ryzen 3 7330U


Description: with Radeon Graphics


Class: Laptop
Socket: FP6
Clockspeed: 2.3 GHzTurbo Speed: 4.3 GHzCores: 4 Threads: 8Typical TDP: 15 W
Cache per CPU Package:L1 Instruction Cache: 4 x 32 KBL1 Data Cache: 4 x 32 KBL2 Cache: 4 x 512 KBL3 Cache: 8 MB


Other names: AMD Ryzen 3 7330U with Radeon Graphics
CPU First Seen on Charts: Q1 2023
CPUmark/$Price: NA
Overall Rank:
1106th fastest in multithreading out of 4854 CPUs488th fastest in single threading out of 4854 CPUs253rd fastest in out of 1421 Laptop CPUs 
Last Price Change: NA




Average CPU Mark


Multithread Rating
10978 Single Thread Rating
3024
 Samples: 67*
					
					*Margin for error: Low


+ Compare"
"Intel Core i3-N305(14%)9,975$309.00*","Intel Core i3-N305


Description: Intel UHD Graphics


Class: Laptop, Mobile/Embedded
Socket: FCBGA1264
Clockspeed: 0.8 GHzTurbo Speed: 3.8 GHzCores: 8 Threads: 8Typical TDP: 15 WTDP Down: 9 W
Cache per CPU Package:L1 Instruction Cache: 8 x 64 KBL1 Data Cache: 8 x 32 KBL2 Cache: 2 x 2048 KBL3 Cache: 6 MB


Other names: Intel(R) Core(TM) i3-N305, Intel Core i3-N305, Intel i3-N305
CPU First Seen on Charts: Q1 2023
CPUmark/$Price: 32.28
Overall Rank:
1168th fastest in multithreading out of 4854 CPUs1151st fastest in single threading out of 4854 CPUs270th fastest in out of 1421 Laptop CPUs70th fastest in out of 1021 Mobile/Embedded CPUs 
Last Price Change: $309.00 USD (2023-01-01)




Average CPU Mark


Multithread Rating
9975 Single Thread Rating
2213
 Samples: 194*
					
					*Margin for error: Low


+ Compare"
