Name,Processor,Video Card,Display,Storage,RAM,Weight
Lenovo IdeaPad Gaming 3i 15,Intel Core i5-10300H,"NVIDIA GeForce GTX 1650 (Laptop, 50W)","15.6”, Full HD (1920 x 1080), IPS",1000GB HDD,"8GB DDR4, 2933 MHz",2.20 kg (4.9 lbs)
Lenovo ThinkBook 13s Gen 2,Intel Core i5-1135G7,Intel Iris Xe Graphics G7 (80EU),"13.3”, WQXGA (2560 x 1600), IPS",512GB SSD,"8GB LPDDR4x, 4266 MHz",1.26 kg (2.8 lbs)
ASUS ZenBook Duo 14 UX482,Intel Core i5-1135G7,NVIDIA GeForce MX450,"14.0”, Full HD (1920 x 1080), IPS",512GB SSD,16GB LPDDR4x,1.57 kg (3.5 lbs)
ASUS VivoBook 14 X412,Intel Core i5-8265U,Intel UHD Graphics 620,"14.0”, Full HD (1920 x 1080), TN",512GB SSD,8GB DDR4,1.50 kg (3.3 lbs)
ASUS Vivobook 17 M712,AMD Ryzen 5 3500U,"AMD Radeon RX Vega 8 (R2000/3000, 15W)","17.3”, Full HD (1920 x 1080), IPS",256GB SSD + 1000GB HDD,8GB DDR4,2.30 kg (5.1 lbs)
Apple MacBook Pro 13 (2020),Intel Core i5-1038NG7,Intel Iris Plus Graphics G7,"13.3”, WQXGA (2560 x 1600), IPS",512GB SSD,16GB LPDDR4x,1.40 kg (3.1 lbs)
Dell Inspiron 5518,Intel Core i5-11300H,NVIDIA GeForce MX450,"15.6”, Full HD (1920 x 1080), IPS",512GB SSD,"8GB DDR4, 3200 MHz",1.75 kg (3.9 lbs)
Dell XPS 9300,Intel Core i5-1035G1,Intel UHD Graphics G1,"13.4”, FHD+ (1920 x 1200), IPS",512GB SSD,"8GB LPDDR4x, 3733 MHz",1.20 kg (2.6 lbs)
HP Pavilion Gaming 15,AMD Ryzen 5 5600H,NVIDIA GeForce GTX 1650 (Laptop),"15.6”, Full HD (1920 x 1080), 144 Hz, IPS",512GB SSD,"8GB DDR4, 3200 MHz",1.98 kg (4.4 lbs)
Apple MacBook Pro 13 (2020),Intel Core i5-1038NG7,Intel Iris Plus Graphics G7,"13.3”, WQXGA (2560 x 1600), IPS",512GB SSD,16GB LPDDR4x,1.40 kg (3.1 lbs)
Apple MacBook Pro 16,Intel Core i9-9880H,AMD Radeon Pro 5500M (4GB GDDR6),"16.0″, (3072 x 1920), IPS",1000GB SSD,16GB DDR4,2.00 kg (4.4 lbs)
